path	leased_at	disposition	closeout_track	note
crates/simthing-workshop/src/persistent_bench.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; measured:2026-08-30@cf8c3f863d28e16ce30bd9092b3c633774182b5a tiny(4p/32q/8t) pivot_mean_us=599 env_us=26103 cpu_us=2 gate=WEAK_PASS
crates/simthing-workshop/src/persistent_bench_gpu.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; measured:2026-08-30@cf8c3f863d28e16ce30bd9092b3c633774182b5a tiny(4p/32q/8t) pivot_mean_us=599 env_us=26103 cpu_us=2 gate=WEAK_PASS
crates/simthing-workshop/src/persistent_bench_report.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; measured:2026-08-30@cf8c3f863d28e16ce30bd9092b3c633774182b5a tiny(4p/32q/8t) pivot_mean_us=599 env_us=26103 cpu_us=2 gate=WEAK_PASS
crates/simthing-workshop/tests/persistent_bench_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; measured:2026-08-30@cf8c3f863d28e16ce30bd9092b3c633774182b5a tiny(4p/32q/8t) pivot_mean_us=599 env_us=26103 cpu_us=2 gate=WEAK_PASS
crates/simthing-workshop/src/multitarget_replay.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/multitarget_replay_gpu.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/multitarget_replay_report.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/multitarget_replay_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/multitarget_replay_resident_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/transfer_contention.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/transfer_contention_gpu.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/transfer_contention_report.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/transfer_contention_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/overlay_order.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/overlay_order_current.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/overlay_order_pivot.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/overlay_order_report.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/overlay_order_semantics_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/eml_phase5.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/eml_phase5.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/eml_phase5_hardcoded.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/eml_phase5_reports_hardened.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/weighted_mean.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/weighted_mean.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/weighted_mean_current_style.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/weighted_mean_pivot_style.wgsl	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/weighted_mean_perf.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/weighted_mean_perf_report.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/src/weighted_mean_report.rs	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/weighted_mean_ab_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/weighted_mean_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
crates/simthing-workshop/tests/workshop_full_reports.txt	2026-08-30	lease	0.0.8.7-rf-arena-modernization	consumer=PERFORMANCE-TRACK; owed-measurement:2026-08-30 live instrument compiles at cf8c3f863d28e16ce30bd9092b3c633774182b5a; 13.4 bounded window measured persistent_bench only
