# Overlay-germ archaeology census (OVERLAY-GERM-ARCHAEOLOGY-0 / 7.6)
# schema: id	token	verb	layer	family	classification	disposition	rationale
# families: OVERLAY | INHERIT | CROSSING-WRITE | EML-REGISTRY
# classification: SEMANTIC-DUPLICATE→migrate / GENUINELY-STRUCTURAL→keep / DEAD→delete
# universe is tree-derived (scripts/ci/overlay_germ_archaeology_census_universe.txt); do not hand-edit that pin.
# Justified non-route overlay-named hits are `# RESIDUE` comments below (not a sixth artifact).
# RECONCILIATION: discovery=73 classified-universe=73 analysis=3 residue=77 unclassified=0
OVL-STORE	core:simthing.rs:add_overlay	attach	core	OVERLAY	GENUINELY-STRUCTURAL	keep	The one overlay store. Anchor §4.1 semantic home; every live attach terminates here except replay restore.
OVL-RECEIVE	core:automaton.rs:deliver_routed_overlay	attach	core	OVERLAY	GENUINELY-STRUCTURAL	keep	The one receive/route primitive. Anchor §4.2; origin/target validated; terminates at add_overlay. Germ receive door.
OVL-DEFICIT-ALIAS	core:automaton.rs:deliver_deficit_directive	attach	core	OVERLAY	SEMANTIC-DUPLICATE	migrate	Thin alias of deliver_routed_overlay. Collapse onto the one receive door.
OVL-STANDING-ALIAS	core:automaton.rs:deliver_standing_directive	attach	core	OVERLAY	SEMANTIC-DUPLICATE	migrate	Thin alias of deliver_routed_overlay. Standing install is receive-at-subtree-root, not a second inbox.
OVL-PREDICATE-BCAST	core:automaton.rs:deliver_predicate_broadcast	attach	core	OVERLAY	GENUINELY-STRUCTURAL	keep	Admitted paid push-by-predicate mode. Per-receiver stamps are this delivery mode, not inheritance. Keep as the one broadcast door.
OVL-LIFECYCLE-ATTACH	sim:overlay_lifecycle.rs:attach_overlay	attach	sim	OVERLAY	DEAD	delete	Wrapper around deliver_routed_overlay with zero production callers. Boundary attach is tree_mutation; this door is unused residue.
OVL-LIFECYCLE-ACTIVATE	sim:overlay_lifecycle.rs:activate_overlay	activate	sim	OVERLAY	SEMANTIC-DUPLICATE	migrate	Admission sidecar establishes the active-generation deadline consumed by the GPU lifecycle projection; numerical lifecycle state migrates to the germ while the tree mutation stays structural.
OVL-LIFECYCLE-SUSPEND	sim:overlay_lifecycle.rs:suspend_overlay	suspend	sim	OVERLAY	SEMANTIC-DUPLICATE	migrate	Admission sidecar rebases the remaining active-tick duration at the structural suspension boundary; numerical lifecycle state migrates to the germ while the tree mutation stays structural.
OVL-STRUCTURAL-APPLY	sim:tree_mutation.rs:apply_structural_mutations	attach	sim	OVERLAY	GENUINELY-STRUCTURAL	keep	Live boundary apply of Attach/Activate/Suspend. Genuine structural seam; stays boundary.
OVL-FEEDER-ATTACH	feeder:work.rs:AttachOverlay	attach	feeder	OVERLAY	GENUINELY-STRUCTURAL	keep	Ingress type for routed attach. Feeder/spec/driver mint this; sim applies it.
OVL-PLAYER-INTENT	feeder:work.rs:submit_player_intent	attach	feeder	OVERLAY	SEMANTIC-DUPLICATE	migrate	Provenance-split player ingress (§5.1). Same attach semantics as AI/system; should converge on one activation door.
OVL-BARRIER-MINT	sim:resolution_site.rs:mint_attach_overlay_at_barrier	attach	sim	OVERLAY	GENUINELY-STRUCTURAL	keep	Slot-identity reattach then mint AttachOverlay. Fail-closed identity door; not a second inbox.
OVL-INSTALL-ONE	driver:install.rs:install_standalone_overlay	attach	driver	OVERLAY	GENUINELY-STRUCTURAL	keep	Install-time compile+host attach. Admission/install boundary, not runtime germ lifecycle.
OVL-INSTALL-PACK	driver:install.rs:install_pack_standalone_overlays	attach	driver	OVERLAY	GENUINELY-STRUCTURAL	keep	Pack-level install driver for standalone overlays. Same install boundary as OVL-INSTALL-ONE.
OVL-COMPILE	spec:compile/overlay.rs:compile_overlay	attach	spec	OVERLAY	GENUINELY-STRUCTURAL	keep	OverlaySpec → Overlay compile. Authoring/admission, not runtime attach authority.
OVL-RF-RECEIVE	driver:automaton_reception.rs:receive_command_deficits_from_disbursement	attach	driver	OVERLAY	GENUINELY-STRUCTURAL	keep	RF disburse-down → deliver_deficit_directive. Anchor §4.4 arrival hook; RF allocation stays here, terminal receive is the germ.
OVL-ORDER-BUILD	driver:order_directive.rs:build_order_directive_overlay	attach	driver	OVERLAY	GENUINELY-STRUCTURAL	keep	Class-bound Player Transient mint. Admission/authoring of an ordinary overlay, not a peer executor.
OVL-ORDER-GATE	driver:order_directive.rs:gate_raw_player_overlay	attach	driver	OVERLAY	GENUINELY-STRUCTURAL	keep	Magnitude/class gate on raw Player overlays. Admission, not a second apply path.
OVL-ORDER-SUBMIT	driver:session.rs:submit_order_directive	attach	driver	OVERLAY	SEMANTIC-DUPLICATE	migrate	Another player-provenance ingress onto the feeder intent channel. Converge with submit_player_intent onto one door.
OVL-COMMIT-ATTACH	driver:session.rs:submit_commitment_effects	attach	driver	OVERLAY	GENUINELY-STRUCTURAL	keep	Mapping commitment boundary pacing now delegates the frozen CrossingConsequenceBinding and shared stamped routed-product mapper; the private AttachOverlay mint is deleted, leaving only the genuine journal-watermark boundary seam.
OVL-DISPATCH-HORIZON	core:generation_stamp.rs:dispatch_until_dissolved	attach	core	OVERLAY	GENUINELY-STRUCTURAL	keep	Definable-horizon constructor for dispatch-minted overlays. Admission helper, not a lifetime authority.
OVL-DISPATCH-ADMIT	core:generation_stamp.rs:admit_dispatch_minted_overlay	attach	core	OVERLAY	GENUINELY-STRUCTURAL	keep	Admission check that dispatch-minted overlays carry UntilDissolvedWith. Keep as the one mint-discipline door.
OVL-DELTA-ATTACHED	sim:delta_log.rs:OverlayAttached	attach	sim	OVERLAY	GENUINELY-STRUCTURAL	keep	Replay transport of attach. One-history surface; not a second store.
OVL-ACTIVATE-FN	sim:tree_mutation.rs:activate_overlay	activate	sim	OVERLAY	GENUINELY-STRUCTURAL	keep	Structural Suspended→active restore. §5.3 storage mutation; stays boundary until 7.7 extracts numerical lifecycle.
OVL-SUSPEND-FN	sim:tree_mutation.rs:suspend_overlay	suspend	sim	OVERLAY	GENUINELY-STRUCTURAL	keep	Structural wrap-in-Suspended. Pair of activate_overlay; genuine storage boundary.
OVL-FEEDER-ACTIVATE	feeder:work.rs:ActivateOverlay	activate	feeder	OVERLAY	GENUINELY-STRUCTURAL	keep	Ingress type for boundary activate.
OVL-FEEDER-SUSPEND	feeder:work.rs:SuspendOverlay	suspend	feeder	OVERLAY	GENUINELY-STRUCTURAL	keep	Ingress type for boundary suspend.
OVL-CE-ACTIVATE	spec:runtime/compiled_effect.rs:ActivateOverlay	activate	spec	OVERLAY	GENUINELY-STRUCTURAL	keep	Compiled scripted-event activate arm. Lowers to feeder ActivateOverlay.
OVL-CE-SUSPEND	spec:runtime/compiled_effect.rs:SuspendOverlay	suspend	spec	OVERLAY	GENUINELY-STRUCTURAL	keep	Compiled scripted-event suspend arm.
OVL-SPEC-ACTIVATE	spec:spec/effect.rs:ActivateOverlay	activate	spec	OVERLAY	GENUINELY-STRUCTURAL	keep	Authored effect spec activate arm.
OVL-SPEC-ACTIVATE-REF	spec:spec/effect.rs:ActivateOverlayRef	activate	spec	OVERLAY	GENUINELY-STRUCTURAL	keep	Install-time overlay-ref activate. Resolved to ActivateOverlay at install.
OVL-SPEC-SUSPEND	spec:spec/effect.rs:SuspendOverlay	suspend	spec	OVERLAY	GENUINELY-STRUCTURAL	keep	Authored effect spec suspend arm.
OVL-CAP-EMIT	spec:boundary/capability_handler.rs:emit_activation	activate	spec	OVERLAY	GENUINELY-STRUCTURAL	keep	Capability entry → ActivateOverlay/SuspendOldest requests. Domain handler on the existing boundary types.
OVL-DELTA-ACTIVATED	sim:delta_log.rs:OverlayActivated	activate	sim	OVERLAY	GENUINELY-STRUCTURAL	keep	Replay transport of activate.
OVL-DELTA-SUSPENDED	sim:delta_log.rs:OverlaySuspended	suspend	sim	OVERLAY	GENUINELY-STRUCTURAL	keep	Replay transport of suspend.
